city,precinct,zip,race,party,sex,age,turf,voted01,voted00,voted99,family,famsize,represen,reached,other,goaway,nothome,bad,cant,nothing,contact,treatmen,primary
"Bridgeport","Colombus School",,"","I","",49,26,"Abstained","Abstained",,15930,1,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"Raleigh","07-04",,"W","I","M",35,20,"Abstained","Abstained","Abstained",56231,2,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","01-01",,"W","R","F",46,2,"Voted","Voted","Abstained",724,2,"Listed","No",0,,,"No",,,"No","Control",
"Bridgeport","Black Rock School",,"","R","F",44,12,"Abstained","Abstained",,8546,2,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 2",,"","","",40,151,"Abstained","Voted","Abstained",3340,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"DETROIT","",,"","","M",61,769,"Voted","Voted","Abstained",13694,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"MINNEAPOLIS","MINNEAPOLIS W- 2 P- 5",,"","","",39,29,"Abstained","Abstained","Abstained",7922,2,"Listed","No",0,"No","No","Yes","No","No","No","Treatment","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 5",,"","","",58,136,"Abstained","Abstained","Abstained",1650,1,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"Bridgeport","Longfellow School",,"","I","",62,47,"Abstained","Abstained",,31521,2,"Listed","Yes",0,"No","No","No",,,"Yes","Treatment","Abstained"
"Raleigh","01-13",,"W","I","F",25,6,"Abstained","Voted","Abstained",10045,2,"Listed","Yes",0,"No","No","No","No","No","Yes","Treatment",
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 5",,"","","",29,137,"Abstained","Abstained","Abstained",2974,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 2",,"","","",39,151,"Abstained","Abstained","Abstained",3198,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","07-01",,"W","D","M",74,14,"Abstained","Voted","Abstained",53059,2,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","07-07",,"W","R","F",36,22,"Voted","Voted","Abstained",60703,2,"Listed","No",0,,,"No",,,"No","Control",
"COLUMBUS","6B",,"","I","",89,403,"Abstained","Abstained","Abstained",9124,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 2",,"","","",47,151,"Abstained","Voted","Abstained",3348,1,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
